year_week,ds,demand_value
201951,2019-12-16,0.14366729678638943
201952,2019-12-23,0.2948960302457467
202001,2019-12-30,0.13988657844990549
202002,2020-01-06,0.332703213610586
202003,2020-01-13,0.7901701323251418
202004,2020-01-20,0.9206049149338374
202005,2020-01-27,0.9149338374291115
202006,2020-02-03,0.7693761814744802
202007,2020-02-10,0.7637051039697542
202008,2020-02-17,0.7901701323251418
202009,2020-02-24,1.005671077504726
202010,2020-03-02,0.8449905482041588
202011,2020-03-09,0.8412098298676749
202012,2020-03-16,0.7372400756143668
202013,2020-03-23,0.9546313799621928
202014,2020-03-30,0.6540642722117203
202015,2020-04-06,0.4820415879017013
202016,2020-04-13,0.4499054820415879
202017,2020-04-20,0.77882797731569
202018,2020-04-27,0.9035916824196597
202019,2020-05-04,1.0699432892249527
202020,2020-05-11,1.1209829867674859
202021,2020-05-18,0.943289224952741
202022,2020-05-25,1.272211720226843
202023,2020-06-01,1.1909262759924386
202024,2020-06-08,1.1455576559546314
202025,2020-06-15,1.0415879017013232
202026,2020-06-22,1.5141776937618148
202027,2020-06-29,1.3629489603024574
202028,2020-07-06,1.1814744801512287
202029,2020-07-13,1.0283553875236295
202030,2020-07-20,0.8827977315689981
202031,2020-07-27,0.9829867674858223
202032,2020-08-03,1.0586011342155008
202033,2020-08-10,1.2608695652173914
202034,2020-08-17,1.2117202268431002
202035,2020-08-24,1.5236294896030245
202036,2020-08-31,1.2003780718336483
202037,2020-09-07,1.1342155009451795
202038,2020-09-14,1.1776937618147447
202039,2020-09-21,1.1266540642722118
202040,2020-09-28,1.168241965973535
202041,2020-10-05,1.168241965973535
202042,2020-10-12,1.0415879017013232
202043,2020-10-19,1.2098298676748582
202044,2020-10-26,1.3137996219281665
202045,2020-11-02,1.0586011342155008
202046,2020-11-09,0.945179584120983
202047,2020-11-16,0.8449905482041588
202048,2020-11-23,1.00945179584121
202049,2020-11-30,1.0132325141776937
202050,2020-12-07,0.9319470699432892
202051,2020-12-14,0.8620037807183365
202052,2020-12-21,0.42344045368620037
202053,2020-12-28,0.39697542533081287
202101,2021-01-04,0.8412098298676749
202102,2021-01-11,0.9829867674858223
202103,2021-01-18,1.0
202104,2021-01-25,1.1323251417769375
202105,2021-02-01,1.0453686200378072
202106,2021-02-08,0.9092627599243857
202107,2021-02-15,0.9395085066162571
202108,2021-02-22,1.1228733459357279
202109,2021-03-01,1.0170132325141776
202110,2021-03-08,1.0189035916824196
202111,2021-03-15,0.9300567107750473
202112,2021-03-22,1.0151228733459357
202113,2021-03-29,0.8941398865784499
202114,2021-04-05,0.9168241965973535
202115,2021-04-12,1.1190926275992439
202116,2021-04-19,1.0264650283553876
202117,2021-04-26,1.1190926275992439
202118,2021-05-03,1.0
202119,2021-05-10,0.7599243856332704
202120,2021-05-17,0.9376181474480151
202121,2021-05-24,1.0604914933837428
202122,2021-05-31,0.502835538752363
