vehicle_category,garage,year_week,reachable_population,year,month,number_of_competitors,x_unit_cost,x_units,demand_value,is_training_data
HIGH END,CT,202023,0.33585194132727403,2020,6,0.75,0.8898305084745762,1.176470588235294,1.176470588235294,True
HIGH END,CT,202024,0.33585194132727403,2020,6,0.75,0.8898305084745762,0.47058823529411764,0.588235294117647,True
HIGH END,CT,202049,0.33585194132727403,2020,12,0.75,0.8898305084745762,1.4117647058823528,0.588235294117647,True
HIGH END,CT,202114,0.33585194132727403,2021,4,0.75,0.9957627118644068,0.9411764705882353,0.588235294117647,False
HIGH END,CT,202115,0.33585194132727403,2021,4,0.75,0.9957627118644068,1.764705882352941,0.588235294117647,False
HIGH END,CT,202116,0.33585194132727403,2021,4,0.75,0.9957627118644068,1.3529411764705883,0.588235294117647,False
HIGH END,CU,201951,0.5614370003083148,2019,12,0.21875,0.9798728813559322,0.2941176470588235,0.588235294117647,True
HIGH END,CU,202005,0.5614370003083148,2020,1,0.21875,0.9798728813559322,0.4411764705882352,0.588235294117647,True
HIGH END,CU,202010,0.5614370003083148,2020,3,0.21875,1.0593220338983051,2.1176470588235294,0.588235294117647,True
HIGH END,CU,202013,0.5614370003083148,2020,3,0.21875,1.0593220338983051,0.5294117647058824,0.588235294117647,True
HIGH END,CU,202014,0.5614370003083148,2020,3,0.21875,0.7415254237288136,1.2941176470588236,0.588235294117647,True
HIGH END,CU,202016,0.5614370003083148,2020,4,0.21875,1.0593220338983051,0.8235294117647057,0.588235294117647,True
HIGH END,CU,202018,0.5614370003083148,2020,4,0.21875,1.0593220338983051,0.8235294117647057,0.588235294117647,True
HIGH END,CU,202019,0.5614370003083148,2020,5,0.21875,0.847457627118644,0.7058823529411764,0.588235294117647,True
HIGH END,CU,202024,0.5614370003083148,2020,6,0.21875,1.0593220338983051,0.41176470588235287,0.588235294117647,True
HIGH END,CU,202027,0.5614370003083148,2020,6,0.21875,1.0593220338983051,1.0588235294117647,0.588235294117647,True
HIGH END,CU,202027,0.5614370003083148,2020,7,0.21875,1.0593220338983051,1.6470588235294117,1.176470588235294,True
HIGH END,CU,202032,0.5614370003083148,2020,8,0.21875,1.0593220338983051,0.5294117647058824,0.588235294117647,True
HIGH END,CU,202033,0.5614370003083148,2020,8,0.21875,1.0593220338983051,1.2352941176470587,1.176470588235294,True
HIGH END,CU,202034,0.5614370003083148,2020,8,0.21875,0.7944915254237288,1.7058823529411762,0.588235294117647,True
HIGH END,CU,202036,0.5614370003083148,2020,9,0.21875,0.7415254237288136,1.2941176470588236,0.588235294117647,True
HIGH END,CU,202038,0.5614370003083148,2020,9,0.21875,0.7415254237288136,1.2941176470588236,0.588235294117647,True
HIGH END,CU,202045,0.5614370003083148,2020,11,0.21875,0.7415254237288136,1.2941176470588236,0.588235294117647,True
HIGH END,CU,202046,0.5614370003083148,2020,11,0.21875,0.7415254237288136,1.2941176470588236,0.588235294117647,True
HIGH END,CU,202047,0.5614370003083148,2020,11,0.21875,1.0593220338983051,1.058823529411765,0.588235294117647,True
HIGH END,CU,202102,0.5614370003083148,2021,1,0.21875,0.7415254237288136,1.176470588235294,0.588235294117647,True
HIGH END,CU,202105,0.5614370003083148,2021,2,0.21875,0.7415254237288135,0.8235294117647057,0.588235294117647,True
HIGH END,CU,202109,0.5614370003083148,2021,3,0.21875,1.0593220338983051,0.5294117647058824,0.588235294117647,True
HIGH END,CU,202116,0.5614370003083148,2021,4,0.21875,1.0593220338983051,1.0,0.588235294117647,False
HIGH END,CV,202043,0.950141698096473,2020,10,0.78125,1.5889830508474574,0.8235294117647057,0.588235294117647,True
HIGH END,CW,202003,0.4729928918659802,2020,1,0.671875,1.1652542372881356,1.2941176470588236,0.588235294117647,True
HIGH END,CW,202019,0.4729928918659802,2020,5,0.671875,1.1652542372881356,0.6470588235294118,0.588235294117647,True
HIGH END,CW,202023,0.4729928918659802,2020,6,0.671875,1.1652542372881356,1.0588235294117647,1.176470588235294,True
HIGH END,CW,202027,0.4729928918659802,2020,7,0.671875,1.1652542372881356,0.41176470588235287,0.588235294117647,True
