vehicle_make,garage,year_week,reachable_population,year,month,number_of_competitors,x_unit_cost,x_units,demand_value,is_training_data
AE,CU,202048,0.557521158895124,2020,11,0.21875,0.7368421052631577,2.1,0.6666666666666666,True
AE,CX,202039,0.7012171082983132,2020,9,0.203125,0.592107047279215,1.9666666666666668,0.6666666666666666,True
AE,DC,202038,1.8356903797277233,2020,9,1.578125,1.3157894736842106,0.3666666666666667,0.6666666666666666,True
AE,DD,202045,1.089601315248664,2020,11,1.375,1.0947368421052632,2.1333333333333333,1.3333333333333333,True
AE,DH,202116,1.5195693567192599,2021,4,1.578125,0.6736842105263158,1.0666666666666667,0.6666666666666666,False
AE,DT,201952,1.821892012045262,2019,12,1.609375,1.1842105263157894,3.033333333333333,0.6666666666666666,True
AE,PB,202101,0.6673838462635362,2021,1,0.234375,1.0,1.9666666666666668,0.6666666666666666,True
AE,PH,202113,0.803480208359546,2021,3,2.3125,1.1526315789473685,0.5333333333333333,0.6666666666666666,True
AE,FM,202040,0.40589429359906726,2020,9,0.21875,0.7368421052631579,1.8,0.6666666666666666,True
AE,FV,202004,0.7407500608134746,2020,1,0.203125,0.9263157894736842,0.5333333333333333,0.6666666666666666,True
AE,HN,202104,0.32339766979541507,2021,1,0.5,0.8,3.9333333333333336,1.3333333333333333,True
AE,HO,202003,0.33452443862871906,2020,1,0.515625,1.0526315789473684,1.6333333333333335,0.6666666666666666,True
AE,HU,202108,0.19167568383703668,2021,2,0.015625,0.9736842105263158,0.7999999999999999,0.6666666666666666,True
AE,HY,202027,0.5430601340412861,2020,6,0.5625,0.9421052631578948,0.8333333333333334,0.6666666666666666,True
AE,IK,202035,1.9289530855498795,2020,8,1.015625,1.0947368421052632,1.6666666666666667,0.6666666666666666,True
AE,IR,202010,2.0367397267168275,2020,3,1.0,1.0526315789473684,0.39999999999999997,0.6666666666666666,True
AE,IW,202006,1.776877458751688,2020,2,1.046875,0.9473684210526315,0.16666666666666666,0.6666666666666666,True
AE,IX,202117,1.9123489099708935,2021,4,1.015625,1.0526315789473684,1.6666666666666667,0.6666666666666666,False
AE,JI,202033,2.0340723219004,2020,8,1.0,0.9490526315789474,1.1333333333333333,0.6666666666666666,True
AE,JI,202049,2.0340723219004,2020,12,1.0,0.9490526315789474,1.5333333333333332,0.6666666666666666,True
AE,JL,202031,0.7173473581787833,2020,7,0.5,0.8421052631578947,0.26666666666666666,0.6666666666666666,True
AE,KB,202029,3.5690505548705302,2020,7,2.59375,0.7105263157894736,1.9000000000000004,0.6666666666666666,True
AE,KD,202113,4.123929473145608,2021,4,2.546875,1.0947368421052632,1.2666666666666666,0.6666666666666666,False
AE,KH,202032,4.1371616464094885,2020,8,2.59375,1.1578947368421053,0.7666666666666666,0.6666666666666666,True
AE,KY,202102,3.588141791858544,2021,1,2.59375,0.894736842105263,0.3666666666666667,0.6666666666666666,True
AE,LH,202039,3.69191893773539,2020,9,2.5625,0.9599999999999997,1.9666666666666668,0.6666666666666666,True
AE,LI,202034,4.000260030029274,2020,8,2.578125,1.0526315789473684,1.8,0.6666666666666666,True
AE,ME,202047,0.8911396864541131,2020,11,2.515625,1.3157894736842106,0.5333333333333333,0.6666666666666666,True
AE,MI,202006,3.270007633139569,2020,2,2.578125,1.2421052631578948,0.3666666666666667,0.6666666666666666,True
AE,MI,202031,3.270007633139569,2020,7,2.578125,1.2421052631578948,0.26666666666666666,0.6666666666666666,True
AE,MR,202102,4.106327117776827,2021,1,2.578125,1.1578947368421053,2.566666666666667,0.6666666666666666,True
AE,MU,202036,1.182402677470495,2020,9,2.609375,1.105263157894737,1.3333333333333333,0.6666666666666666,True
AE,NJ,202031,1.4906305308806629,2020,7,1.015625,0.8431578947368421,0.9666666666666667,0.6666666666666666,True
AE,NL,202106,0.6895996376355721,2021,2,1.078125,0.9894736842105263,0.9333333333333332,0.6666666666666666,True
AE,NU,202028,0.45237256431549194,2020,7,0.375,0.968421052631579,0.9333333333333332,0.6666666666666666,True
AE,OQ,202020,4.042871402568426,2020,5,2.546875,0.7368421052631579,1.7666666666666666,0.6666666666666666,True
AE,BH,202026,0.20794433679760438,2020,6,0.171875,0.8421052631578947,2.6333333333333333,0.6666666666666666,True
AE,CE,202008,1.0,2020,2,0.78125,0.8947368421052632,1.8333333333333333,0.6666666666666666,True
