vehicle_category,garage,reachable_population,year,week_of_year,number_of_competitors,x_unit_cost,x_units,demand_value,is_training_data
HIGH END,CT,0.33585194132727403,2020,23,0.75,0.8936170212765957,1.1111111111111112,1.1111111111111112,True
HIGH END,CT,0.33585194132727403,2020,24,0.75,0.8936170212765957,0.44444444444444453,0.5555555555555556,True
HIGH END,CT,0.33585194132727403,2020,49,0.75,0.8936170212765957,1.3333333333333335,0.5555555555555556,True
HIGH END,CU,0.5614370003083148,2019,51,0.21875,0.9840425531914894,0.2777777777777778,0.5555555555555556,True
HIGH END,CU,0.5614370003083148,2020,5,0.21875,0.9840425531914894,0.4166666666666667,0.5555555555555556,True
HIGH END,CU,0.5614370003083148,2020,10,0.21875,1.0638297872340425,2.0000000000000004,0.5555555555555556,True
HIGH END,CU,0.5614370003083148,2020,13,0.21875,1.0638297872340425,0.5000000000000001,0.5555555555555556,True
HIGH END,CU,0.5614370003083148,2020,14,0.21875,0.7446808510638298,1.2222222222222225,0.5555555555555556,True
HIGH END,CU,0.5614370003083148,2020,16,0.21875,1.0638297872340425,0.7777777777777778,0.5555555555555556,True
HIGH END,CU,0.5614370003083148,2020,18,0.21875,1.0638297872340425,0.7777777777777778,0.5555555555555556,True
HIGH END,CU,0.5614370003083148,2020,19,0.21875,0.851063829787234,0.6666666666666667,0.5555555555555556,True
HIGH END,CU,0.5614370003083148,2020,24,0.21875,1.0638297872340425,0.3888888888888889,0.5555555555555556,True
HIGH END,CU,0.5614370003083148,2020,27,0.21875,1.0638297872340425,2.5555555555555562,1.6666666666666667,True
HIGH END,CU,0.5614370003083148,2020,32,0.21875,1.0638297872340425,0.5000000000000001,0.5555555555555556,True
HIGH END,CU,0.5614370003083148,2020,33,0.21875,1.0638297872340425,1.1666666666666667,1.1111111111111112,True
HIGH END,CU,0.5614370003083148,2020,34,0.21875,0.7978723404255319,1.6111111111111112,0.5555555555555556,True
HIGH END,CU,0.5614370003083148,2020,36,0.21875,0.7446808510638298,1.2222222222222225,0.5555555555555556,True
HIGH END,CU,0.5614370003083148,2020,38,0.21875,0.7446808510638298,1.2222222222222225,0.5555555555555556,True
HIGH END,CU,0.5614370003083148,2020,45,0.21875,0.7446808510638298,1.2222222222222225,0.5555555555555556,True
HIGH END,CU,0.5614370003083148,2020,46,0.21875,0.7446808510638298,1.2222222222222225,0.5555555555555556,True
HIGH END,CU,0.5614370003083148,2020,47,0.21875,1.0638297872340425,1.0000000000000004,0.5555555555555556,True
HIGH END,CU,0.5614370003083148,2021,2,0.21875,0.7446808510638298,1.1111111111111112,0.5555555555555556,True
HIGH END,CU,0.5614370003083148,2021,5,0.21875,0.7446808510638296,0.7777777777777778,0.5555555555555556,True
HIGH END,CU,0.5614370003083148,2021,9,0.21875,1.0638297872340425,0.5000000000000001,0.5555555555555556,True
HIGH END,CV,0.950141698096473,2020,43,0.78125,1.5957446808510636,0.7777777777777778,0.5555555555555556,True
HIGH END,CW,0.4729928918659802,2020,3,0.671875,1.1702127659574468,1.2222222222222225,0.5555555555555556,True
HIGH END,CW,0.4729928918659802,2020,19,0.671875,1.1702127659574468,0.6111111111111113,0.5555555555555556,True
HIGH END,CW,0.4729928918659802,2020,23,0.671875,1.1702127659574468,1.0000000000000002,1.1111111111111112,True
HIGH END,CW,0.4729928918659802,2020,27,0.671875,1.1702127659574468,0.3888888888888889,0.5555555555555556,True
HIGH END,CW,0.4729928918659802,2020,35,0.671875,1.1702127659574466,1.2777777777777781,0.5555555555555556,True
HIGH END,CW,0.4729928918659802,2020,44,0.671875,1.1702127659574468,0.8888888888888891,0.5555555555555556,True
HIGH END,CW,0.4729928918659802,2021,5,0.671875,1.1914893617021276,0.5555555555555556,0.5555555555555556,True
HIGH END,CX,0.7061422218092588,2020,2,0.203125,0.7893617021276595,1.9444444444444446,1.6666666666666667,True
HIGH END,CX,0.7061422218092588,2020,9,0.203125,0.5920212765957445,1.3888888888888893,0.5555555555555556,True
HIGH END,CX,0.7061422218092588,2020,11,0.203125,0.5920212765957447,0.22222222222222227,0.5555555555555556,True
HIGH END,CX,0.7061422218092588,2020,18,0.203125,0.6382978723404256,2.777777777777778,1.6666666666666667,True
HIGH END,CX,0.7061422218092588,2020,19,0.203125,0.6382978723404256,0.7777777777777778,0.5555555555555556,True
HIGH END,CX,0.7061422218092588,2020,23,0.203125,0.598404255319149,1.388888888888889,0.5555555555555556,True
HIGH END,CX,0.7061422218092588,2020,24,0.203125,0.598404255319149,0.7777777777777778,0.5555555555555556,True
HIGH END,CX,0.7061422218092588,2020,25,0.203125,0.598404255319149,5.055555555555556,1.1111111111111112,True
HIGH END,CX,0.7061422218092588,2020,28,0.203125,0.6263600096711799,8.500000000000002,1.6666666666666667,True
HIGH END,CX,0.7061422218092588,2020,31,0.203125,0.6382978723404255,1.2777777777777781,0.5555555555555556,True
HIGH END,CX,0.7061422218092588,2020,33,0.203125,0.668218085106383,4.277777777777779,2.2222222222222223,True
HIGH END,CX,0.7061422218092588,2020,34,0.203125,0.598404255319149,2.9444444444444446,1.1111111111111112,True
HIGH END,CX,0.7061422218092588,2020,35,0.203125,0.7978723404255319,0.3888888888888889,0.5555555555555556,True
HIGH END,CX,0.7061422218092588,2020,36,0.203125,0.6981382978723404,1.9444444444444446,1.1111111111111112,True
HIGH END,CX,0.7061422218092588,2020,37,0.203125,0.598404255319149,1.0555555555555556,0.5555555555555556,True
HIGH END,CX,0.7061422218092588,2020,40,0.203125,0.5984042553191489,1.6111111111111114,0.5555555555555556,True
HIGH END,CX,0.7061422218092588,2020,44,0.203125,0.5984042553191489,0.9444444444444446,0.5555555555555556,True
HIGH END,CX,0.7061422218092588,2020,45,0.203125,0.6482712765957447,4.9444444444444455,2.2222222222222223,True
HIGH END,CX,0.7061422218092588,2021,8,0.203125,0.5585106382978723,0.8888888888888891,0.5555555555555556,True
HIGH END,CY,0.45788124390233603,2020,7,0.390625,0.8510638297872339,0.7777777777777778,0.5555555555555556,True
HIGH END,CY,0.45788124390233603,2020,16,0.390625,0.851063829787234,0.3888888888888889,0.5555555555555556,True
HIGH END,CY,0.45788124390233603,2020,30,0.390625,0.851063829787234,0.44444444444444453,0.5555555555555556,True
HIGH END,CY,0.45788124390233603,2020,35,0.390625,0.8510638297872339,1.6111111111111114,0.5555555555555556,True
HIGH END,CY,0.45788124390233603,2020,41,0.390625,0.8510638297872339,0.7777777777777778,0.5555555555555556,True
HIGH END,CY,0.45788124390233603,2020,49,0.390625,0.8510638297872339,2.5000000000000004,1.1111111111111112,True
HIGH END,CY,0.45788124390233603,2020,52,0.390625,0.851063829787234,1.1222222222222222,0.5555555555555556,True
HIGH END,CY,0.45788124390233603,2020,53,0.390625,0.851063829787234,1.1111111111111112,0.5555555555555556,True
HIGH END,CY,0.45788124390233603,2021,1,0.390625,0.8510638297872339,1.3888888888888893,0.5555555555555556,True
HIGH END,CY,0.45788124390233603,2021,5,0.390625,0.851063829787234,1.1666666666666667,0.5555555555555556,True
HIGH END,CY,0.45788124390233603,2021,11,0.390625,0.8723404255319149,0.5000000000000001,0.5555555555555556,True
HIGH END,CZ,1.132351512643018,2020,27,1.515625,0.8510638297872339,0.6111111111111113,0.5555555555555556,True
HIGH END,DA,0.645695629954682,2020,13,0.53125,0.851063829787234,1.3166666666666669,1.1111111111111112,True
HIGH END,DA,0.645695629954682,2020,28,0.53125,0.851063829787234,0.18333333333333335,0.5555555555555556,True
HIGH END,DA,0.645695629954682,2020,29,0.53125,0.851063829787234,0.5000000000000001,0.5555555555555556,True
HIGH END,DA,0.645695629954682,2020,30,0.53125,0.851063829787234,1.1111111111111112,0.5555555555555556,True
HIGH END,DA,0.645695629954682,2020,33,0.53125,0.851063829787234,1.1666666666666667,0.5555555555555556,True
HIGH END,DA,0.645695629954682,2020,36,0.53125,0.851063829787234,0.44444444444444453,0.5555555555555556,True
HIGH END,DA,0.645695629954682,2020,52,0.53125,0.8510638297872339,1.8333333333333337,0.5555555555555556,True
HIGH END,DA,0.645695629954682,2021,5,0.53125,0.851063829787234,1.4444444444444446,1.1111111111111112,True
HIGH END,DB,1.5585016746138673,2020,12,1.53125,0.851063829787234,0.9444444444444445,0.5555555555555556,True
HIGH END,DB,1.5585016746138673,2020,31,1.53125,0.9553191489361702,0.5000000000000001,0.5555555555555556,True
HIGH END,DB,1.5585016746138673,2020,44,1.53125,0.9553191489361702,0.9444444444444445,0.5555555555555556,True
HIGH END,DC,1.8485836525588015,2020,3,1.578125,1.3297872340425532,0.2777777777777778,0.5555555555555556,True
HIGH END,DC,1.8485836525588015,2020,7,1.578125,1.329787234042553,1.2777777777777781,0.5555555555555556,True
HIGH END,DC,1.8485836525588015,2020,10,1.578125,1.329787234042553,0.9444444444444446,0.5555555555555556,True
