vehicle_make,garage,reachable_population,year,week_of_year,number_of_competitors,x_unit_cost,x_units,demand_value,is_training_data
AE,CU,0.557521158895124,2020,48,0.21875,0.7446808510638296,2.1,0.6666666666666666,True
AE,CX,0.7012171082983132,2020,39,0.203125,0.5984060584204832,1.9666666666666668,0.6666666666666666,True
AE,DC,1.8356903797277233,2020,38,1.578125,1.3297872340425532,0.3666666666666667,0.6666666666666666,True
AE,DD,1.089601315248664,2020,45,1.375,1.1063829787234043,2.1333333333333333,1.3333333333333333,True
AE,DT,1.821892012045262,2019,52,1.609375,1.196808510638298,3.033333333333333,0.6666666666666666,True
AE,PB,0.6673838462635362,2021,1,0.234375,1.0106382978723405,1.9666666666666668,0.6666666666666666,True
AE,FM,0.40589429359906726,2020,40,0.21875,0.7446808510638298,1.8,0.6666666666666666,True
AE,FV,0.7407500608134746,2020,4,0.203125,0.9361702127659575,0.5333333333333333,0.6666666666666666,True
AE,HN,0.32339766979541507,2021,4,0.5,0.8085106382978723,3.9333333333333336,1.3333333333333333,True
AE,HO,0.33452443862871906,2020,3,0.515625,1.0638297872340425,1.6333333333333335,0.6666666666666666,True
AE,HU,0.19167568383703668,2021,8,0.015625,0.9840425531914894,0.7999999999999999,0.6666666666666666,False
AE,HY,0.5430601340412861,2020,27,0.5625,0.9521276595744681,0.8333333333333334,0.6666666666666666,True
AE,IK,1.9289530855498795,2020,35,1.015625,1.1063829787234043,1.6666666666666667,0.6666666666666666,True
AE,IR,2.0367397267168275,2020,10,1.0,1.0638297872340425,0.39999999999999997,0.6666666666666666,True
AE,IW,1.776877458751688,2020,6,1.046875,0.9574468085106383,0.16666666666666666,0.6666666666666666,True
AE,JI,2.0340723219004,2020,33,1.0,0.9591489361702128,1.1333333333333333,0.6666666666666666,True
AE,JI,2.0340723219004,2020,49,1.0,0.9591489361702128,1.5333333333333332,0.6666666666666666,True
AE,JL,0.7173473581787833,2020,31,0.5,0.851063829787234,0.26666666666666666,0.6666666666666666,True
AE,KB,3.5690505548705302,2020,29,2.59375,0.7180851063829786,1.9000000000000004,0.6666666666666666,True
AE,KH,4.1371616464094885,2020,32,2.59375,1.1702127659574468,0.7666666666666666,0.6666666666666666,True
AE,KY,3.588141791858544,2021,2,2.59375,0.9042553191489361,0.3666666666666667,0.6666666666666666,True
AE,LH,3.69191893773539,2020,39,2.5625,0.9702127659574465,1.9666666666666668,0.6666666666666666,True
AE,LI,4.000260030029274,2020,34,2.578125,1.0638297872340425,1.8,0.6666666666666666,True
AE,ME,0.8911396864541131,2020,47,2.515625,1.3297872340425532,0.5333333333333333,0.6666666666666666,True
AE,MI,3.270007633139569,2020,6,2.578125,1.2553191489361701,0.3666666666666667,0.6666666666666666,True
AE,MI,3.270007633139569,2020,31,2.578125,1.2553191489361701,0.26666666666666666,0.6666666666666666,True
AE,MR,4.106327117776827,2021,2,2.578125,1.1702127659574468,2.566666666666667,0.6666666666666666,True
AE,MU,1.182402677470495,2020,36,2.609375,1.1170212765957446,1.3333333333333333,0.6666666666666666,True
AE,NJ,1.4906305308806629,2020,31,1.015625,0.8521276595744681,0.9666666666666667,0.6666666666666666,True
AE,NL,0.6895996376355721,2021,6,1.078125,1.0,0.9333333333333332,0.6666666666666666,True
AE,NU,0.45237256431549194,2020,28,0.375,0.9787234042553191,0.9333333333333332,0.6666666666666666,True
AE,OQ,4.042871402568426,2020,20,2.546875,0.7446808510638298,1.7666666666666666,0.6666666666666666,True
AE,BH,0.20794433679760438,2020,26,0.171875,0.851063829787234,2.6333333333333333,0.6666666666666666,True
AE,CE,1.0,2020,8,0.78125,0.9042553191489362,1.8333333333333333,0.6666666666666666,True
AE,CS,0.7012171082983132,2020,31,0.203125,0.6702127659574468,1.7,0.6666666666666666,True
AB,CT,0.33350948270800307,2020,23,0.75,0.8936170212765956,0.9333333333333332,0.6666666666666666,True
AB,CT,0.33350948270800307,2020,49,0.75,0.8936170212765957,1.5999999999999999,0.6666666666666666,True
AB,CU,0.557521158895124,2020,10,0.21875,1.0638297872340425,2.4,0.6666666666666666,True
AB,CU,0.557521158895124,2020,13,0.21875,1.0638297872340425,0.6000000000000001,0.6666666666666666,True
AB,CU,0.557521158895124,2020,14,0.21875,0.7446808510638298,1.4666666666666668,0.6666666666666666,True
AB,CU,0.557521158895124,2020,16,0.21875,1.0638297872340425,0.9333333333333332,0.6666666666666666,True
